COM COD,COURSE NO.,COURSE TITLE,CREDIT L P U,SEC,INSTRUCTOR-IN-CHARGE/ Instructor,ROOM,DAYS/ HOURS,MIDSEM TEST,COMRE DATE & SESSION
,,,,4,Shanookha Ali,165,T7 W7 Th23,,
,,,,5,Suhel Ahmad Khan,184,M7 M8 Th34,,
,,,,6,Asiya Latheef,185,M45 Th12,,
,,,,7,Prashanth K Barik,189,M23 T9 F1,,
,,,,8,S Baskaran,190,M5 T5 Th2 F2,,
,,,,9,K Kumar,223,M34 Th34,,
1012,MATH F113,PROBABILITY & STATISTICS,3 0 3,,MANEESHA,,,07.04.2025 FN,27.05.2025 FN
,,,,1,Maneesha,184,T12 W9 Th7,,
,,,,2,Shanookha Ali,185,T1 W34 F2,,
,,,,3,Shanookha Ali,189,M45 Th78,,
,,,,4,Maneesha,190,M78 Th3 F1,,
,,,,5,K Kumar,183,T34 F45,,
1022,MATH F211,MATHEMATICS III,3 0 3,,S BASKARAN,,,07.04.2025 FN,27.05.2025 FN
,,,,1,A Somasundaram,267,T5 Th7 F45,,
,,,,2,Suhel Ahmad Khan,268,M12 T12,,
,,,,3,Suhel Ahmad Khan,257,T5 Th7 F45,,
,,,,4,A Somasundaram,205,M34 Th34,,
,,,,5,S Baskaran,269,M12 T12,,
,,,,6,Prashanth K Barik,268,T5 Th7 F45,,
1122,MATH F212,OPTIMIZATION,3 0 3,1,MANEESHA,270,T89 W6,03.04.2025 FN,03.06.2025 FN
1662,MATH F266,STUDY PROJECT,3,1,K K SINGH,,,,
1679,MATH F366,LABORATORY PROJECT,3,1,K K SINGH,,,,
1747,MATH F367,LABORATORY PROJECT,3,1,K K SINGH,,,,
1696,MATH F376,DESIGN PROJECT,3,1,K K SINGH,,,,
1763,MATH F377,DESIGN PROJECT,3,1,K K SINGH,,,,
1721,MATH F491,SPECIAL PROJECT,3,1,K K SINGH,,,,
2379,ME F112,WORKSHOP PRACTICE,1 1 2,1,VINCENT S KUMAR,184,M9,-,03.06.2025 FN
,,,,2,Vincent S Kumar,185,W2,,
,,,,3,Vincent S Kumar,189,T8,,
,,,,4,Vincent S Kumar,190,Th1,,
,,Practical,,1,Nithin Tom Mathew,MG1,M34,,
,,,,2,Gulshan Kumar,MG1,M89,,
,,,,3,Nithin Tom Mathew,MG1,T23,,
,,,,4,Gulshan Kumar,MG1,T89,,
,,,,5,Snehaunshu Choudhury,MG1,W23,,
,,,,6,Priyank Upadhyaya,MG1,W89,,
,,,,7,Ram Karthikeyan,MG1,Th23,,
,,,,8,Vincent S Kumar,MG1,Th89,,
2397,ME F218,ADVANCED MECHANICS OF SOLIDS,2 0 2,1,PRIYANK UPADHYAYA,220,T4 W12,02.04.2025 AN,26.05.2025 AN
2398,ME F219,MANUFACTURING PROCESSES,3 1 4,1,HARPREET SINGH,220,T78 Th12,03.04.2025 AN,29.05.2025 AN
,,Practical,,1,Harpreet Singh,MG1,F45,,
2430,ME F220,HEAT TRANSFER,3 1 4,1,SNEHAUNSHU CHOUDHURY,220,M12 F23,07.04.2025 AN,28.05.2025 AN
,,Practical,,1,Majid H Khan,MS4,W456,,
2399,ME F221,MECHANISMS AND MACHINES,3 0 3,1,RAM KARTHIKEYAN,220,T23 Th78,08.04.2025 AN,02.06.2025 AN
1663,ME F266,STUDY PROJECT,3,1,VINCENT S KUMAR,,,,
2406,ME F318,COMPUTER AIDED DESIGN,1 2 3,1,RAVINDRA G BHARDWAJ,221,W12,02.04.2025 AN,26.05.2025 AN
,,Practical,,1,Ravindra G Bhardwaj,MS6,T56 F23,,
2407,ME F319,VIBRATIONS AND CONTROL,3 0 3,1,HARPREET SINGH,221,M89 T12,03.04.2025 AN,02.06.2025 AN
2408,ME F320,ENGINEERING OPTIMIZATION,3 0 3,1,CHAKRADHAR IYYUNNI,221,T34 Th12,07.04.2025 AN,28.05.2025 AN
1270,ME F341,PRIMEMOVERS & FLUID MACH,2 1 3,1,SHASHANK KHURANA,221,M12 W3,08.04.2025 AN,29.05.2025 AN
,,Practical,,1,Shashank Khurana,MG1,Th56,,
2311,ME F426,INDUSTRY 4.0,3 0 3,1,NITHIN TOM MATHEW,220,M6 F45,04.04.2025 FN,04.06.2025 FN
1284,ME F443,QUALI CONTRO ASSUR & REL,3 0 3,1,RAM KARTHIKEYAN,221,M34 F1,09.04.2025 FN,27.05.2025 AN
1680,ME F366,LABORATORY PROJECT,3,1,VINCENT S KUMAR,,,,
1748,ME F367,LABORATORY PROJECT,3,1,VINCENT S KUMAR,,,,
1697,ME F376,DESIGN PROJECT,3,1,VINCENT S KUMAR,,,,
1764,ME F377,DESIGN PROJECT,3,1,VINCENT S KUMAR,,,,
1290,ME F491,SPECIAL PROJECT,3,1,VINCENT S KUMAR,,,,
1024,MGTS F211,PRINCIPLES OF MANAGEMENT,3 0 3,1,YUSRA QAMAR,215,M56 T9,02.04.2025 FN,30.05.2025 FN
2544,MGTS F311,MARKETING,3 0 3,1,JISS VARGHESE MATHEW,226,T89 W6,03.04.2025 FN,03.06.2025 FN
1014,PHY F110,PHYSICS LABORATORY,0 2 1,,KRISHNAKANTA BHATTACHARYA,,,,
,,,,1,K K Singh,309,M34,,
,,,,2,Shishir Kumar Pandey,309,M89,,
,,,,3,Shishir Kumar Pandey,309,T34,,
,,,,4,Swati Routh,309,T89,,
,,,,5,Krishnakanta Bhattacharya,309,W23,,
,,,,6,Shishir Kumar Pandey,309,W89,,
,,,,7,Krishnakanta Bhattacharya,309,Th34,,
,,,,8,Swati Routh,309,Th89,,
,,,,9,Krishnakanta Bhattacharya,309,F34,,
1015,PHY F111,MECH OSCILLATIONS & WAVE,3 0 3,,K K SINGH,,,02.04.2025 FN,26.05.2025 FN
,,,,1,Shishir Kumar Pandey,184,M12 W45,,
,,,,2,Krishnakanta Bhattacharya,185,M12 W5 Th9,,
,,,,3,K K Singh,189,T1 W23 Th9,,
,,,,4,Swati Routh,190,M12 W45,,
1493,PHY F215,INTRO TO ASTRO & ASTROPH,3 0 3,1,SWATI ROUTH,205,M5 W89,02.04.2025 FN,29.05.2025 FN
1666,PHY F266,STUDY PROJECT,3,1,K K SINGH,,,,
1683,PHY F366,LABORATORY PROJECT,3,1,K K SINGH,,,,
1751,PHY F367,LABORATORY PROJECT,3,1,K K SINGH,,,,
1700,PHY F376,DESIGN PROJECT,3,1,K K SINGH,,,,
1767,PHY F377,DESIGN PROJECT,3,1,K K SINGH,,,,
1725,PHY F491,SPECIAL PROJECT,3,1,K K SINGH,,,,
2003,BITS G540,RESEARCH PRACTICE,4,1,S RAMACHANDRAN,267,W4 F12,-,-
559,BITS G560,PRACTICE SCHOOL,20,1,GOMATHI BHAVANI,,,,
575,BITS G561T,DISSERTATION,16,1,S RAMACHANDRAN,,,,
756,BITS G629T,DISSERTATION,16,1,S RAMACHANDRAN,,,,
809,BITS G639,PRACTICE SCHOOL,20,1,GOMATHI BHAVANI,,,,
2440,CS F425,DEEP LEARNING,3 0 3,1,TAMIZHARASAN PERIYASAMY,268,W123,02.04.2025,30.05.2025
356,CS G514,OBJ ORI ANALYS & DESIGN,2 2 4,1,ASHISH GUPTA,268,T12,08.04.2025,02.06.2025
,,Practical,,1,Ashish Gupta,332,T34,,
2109,CS G527,CLOUD COMPUTING,0 0 5,1,SUJALA D SHETTY,268,Th123,03.04.2025,26.05.2025
436,DE G514,FRACTURE MECHANICS,0 0 5,1,VINCENT KUMAR,269,M123,07.04.2025,30.05.2025
,,Practical,,1,Vincent Kumar,MS6,Th12,,
362,DE G531,PRODUCT DESIGN,3 2 5,1,GULSHAN KUMAR,269,T123,08.04.2025,02.06.2025
,,Practical,,1,Gulshan Kumar,MS6,Th34,,
89,EEE G544,STEADYSTATE & DYN OF EM,3 2 5,1,GOMATHI BHAVANI,267,W123,02.04.2025,26.05.2025
,,Practical,,1,Chelladurai C,313,Th34,,
91,EEE G545,CONTROL & INSTRU FOR SYS,3 0 3,1,V KALAICHELVI,267,T123,08.04.2025,28.05.2025
816,EEE G552,SOLID STATE DRIVES,3 2 5,1,SUNIL THOMAS,267,M123,07.04.2025,30.05.2025
,,Practical,,1,Ashwani Saini,303,Th12,,
2235,MBA G537,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT,3 0 3,1,ASGAR ALI,G30,Th234,03.04.2025,27.05.2025
2351,MBA G546,BUSINESS STATISTICS,3 0 3,1,AARIZ FAIZAN JAVED,G30,Th1 F45,04.04.2025,03.06.2025
2353,MBA G548,STRATEGIC MARKETING,3 0 3,1,ANURAG SINGH,G30,F123,04.04.2025,30.05.2025
2354,MBA G549,INTRODUCTION TO SYSTEMS AND SUSTAINABILITY,3 0 3,1,SHAZI S J,G30,W234,02.04.2025,26.05.2025
2356,MBA G557,ECO ENV OF BUSINESS,3 0 3,1,SARTAJ RASOOL,G30,M123,7/4/2025,28.05.2025
2357,MBA G558,OPERATIONS AND SUPPLY CHAIN MGT,3 0 3,1,LIJO JOHN,G30,M4 T34,8/4/2025,02.06.2025
2358,MBA G559,COPORATE FINANCE,3 0 3,1,ASGAR ALI,G30,T12 W1,8/4/2025,29.05.2025
322,ME G512,FINITE ELEMENT METHOD,0 0 5,1,PRIYANK UPADHYAYA,269,F123,3/4/2025,28.05.2025
,,Practical,,1,Priyank Upadhyaya,MS6,F45,,
262,ME G532,MACHINE TOOL ENGINEERING,2 3 5,1,NITHIN TOM MATHEW,269,W123,2/4/2025,26.05.2025
,,Practical,,1,Nithin Tom Mathew,MS6,Th12,,
2457,MPBA G505,STATISTICS & BASIC ECONOMETRICS,3*,1,SARTAJ RASOOL,277,W234,2/4/2025,26.05.2025
2459,MPBA G507,PROGRAMMING FOR ANALYTICS,3*,1,TBA,277,F234,4/4/2025,03.06.2025
2460,MPBA G508,STRATEGIC MANAGEMENT,3 0 3,1,ANURAG SINGH,277,Th34 F5,3/4/2025,28.05.2025
2463,MPBA G511,"DATA VISUAL, ETHIC & DATA PRIV",3*,1,AARIZ FAIZAN JAVED,277,T234,8/4/2025,29.05.2025
2464,MPBA G512,TIME SERIES ANALYSIS AND FORECAS,3*,1,RAJA SACHIDANAMDAM,183,M234,7/4/2025,30.05.2025
2465,MPBA G513,PREDICTIVE ANALYTICS,3*,1,LIJO JOHN,277,M12 T1,7/4/2025,30.05.2025
2466,MPBA G514,DEEP LEARNING FOR BUSINESS,3*,1,AARIZ FAIZAN JAVED,183,M1 F12,4/4/2025,28.05.2025
2467,MPBA G515,PRESCRIPT ANALY WITH MATH PROG,3*,1,LIJO JOHN,183,Th123,3/4/2025,27.05.2025
2468,MPBA G516,ADV SPREAD & MAC PROG FOR BUSI,3*,1,RAJA SACHIDANAMDAM,183,F345,4/4/2025,03.06.2025
2471,MPBA G519,NATURAL LANG PROCES FOR BUSI,3*,1,AARIZ FAIZAN JAVED,277,M34 W1,7/4/2025,02.06.2025
2481,MPBA G529,MARKETING RESEARCH & METRICS,3*,1,AQILA BEGUM,183,W123,2/4/2025,26.05.2025
2483,MPBA G531,FINANCIAL DERIVATIVES AND ANALY,3*,1,AQILA BEGUM,277,Th12 F1,3/4/2025,27.05.2025
2486,MPBA G534,PEOPLE ANALYTICS,3*,1,YUSRA QAMAR,183,T123,8/4/2025,02.06.2025
958,SS G515,DATA WAREHOUSING,3 2 5,1,TOJO MATHEW,268,M123,7/4/2025,28.05.2025
,,Practical,,1,Tojo Mathew,332,F12,,
