COM COD,Course ID,Course Title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,MIDSEM TEST,COMRE DATE & SESSION
520,BITS C797T,PHD SEMINAR,2,1,S RAMACHANDRAN,,,,
553,BITS C799T,PHD THESIS,40,1,S RAMACHANDRAN,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,5,1,S RAMACHANDRAN,,,,
2860,BITS F101,SOCIAL CONDUCT,1,1,SHAZI S J,,,,
2862,BITS F103,INTRODUCTION TO ENGINEERING DESIGN AND PROTOTYPE,2 2 4,,RAVINDRA G BHARDWAJ / Meghana S Charde,,,30.10.2025 FN,31.12.2025 FN
,,,,1,Meghana S Charde,123,T7,,
,,,,2,TBA,205,W7,,
,,,,3,TBA,210,T7,,
,,,,4,TBA,214,T7,,
,,,,5,TBA,215,M5,,
,,,,6,Deepthi Mary Dilip,220,M7,,
,,,,7,Meghana S Charde,221,Th7,,
,,,,1,RAVINDRA G BHARDWAJ,123,M7,,
,,,,2,Chakradhar Iyunni,205,M7,,
,,,,3,Chakradhar Iyunni,210,F2,,
,,,,4,Chakradhar Iyunni,214,T8,,
,,,,5,Ravindra G Bhardwaj,215,W5,,
,,,,6,Ravindra G Bhardwaj,220,Th7,,
,,,,7,Ravindra G Bhardwaj,221,T7,,
,,Practical,,1,Ravindra G Bhardwaj,MG1,M12,,
,,,,2,Chakradhar Iyunni,MG1,M34,,
,,,,3,Sonu Thomas,MG1,M89,,
,,,,4,Chakradhar Iyunni,MG1,T12,,
,,,,5,Vincent S Kumar,MG1,T34,,
,,,,6,Priyank Upadhyaya,MG1,T89,,
,,,,7,Harpreet Singh Bedi,MG1,W12,,
,,,,8,Chakradhar Iyunni,MG1,W34,,
,,,,9,Ravindra G Bhardwaj,MG1,W89,,
,,,,10,Sonu Thomas,MG1,Th12,,
,,,,11,Ram Karthikeyan,MG1,Th34,,
,,,,12,Priyank Upadhyaya,MG1,Th56,,
,,,,13,Chakradhar Iyunni,MG1,Th89,,
,,,,14,Ram Karthikeyan,MG1,F34,,
,,,,1,Vivek B Kartha,336,M34,,
,,,,2,Meghana S Charde,336,M89,,
,,,,3,Deepthi Mary Dilip,336,T34,,
,,,,4,TBA,336,W34,,
,,,,5,TBA,336,Th34,,
,,,,6,TBA,336,Th89,,
,,,,7,TBA,336,F34,,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,,MEGHANA S CHARDE,,,30.10.2025 FN,31.12.2025 FN
,,,,1,Meghana S Charde,123,T7,,
,,,,2,TBA,205,W7,,
,,,,3,TBA,210,T7,,
,,,,4,TBA,214,T7,,
,,,,5,TBA,215,M5,,
,,,,6,Deepthi Mary Dilip,220,M7,,
,,,,7,Meghana S Charde,221,Th7,,
,,Practical,,1,Vivek B Kartha,336,M34,,
,,,,2,Meghana S Charde,336,M89,,
,,,,3,Deepthi Mary Dilip,336,T34,,
,,,,4,TBA,336,W34,,
,,,,5,TBA,336,Th34,,
,,,,6,TBA,336,Th89,,
,,,,7,TBA,336,F34,,
1004,BITS F111,THERMODYNAMICS,3 0 3,,SNEHAUNSHU CHOUDHURY,,,28.10.2025 FN,24.12.2025 FN
,,,,1,Shashank Khurana,101,M8 Th7 F12,,
,,,,2,Majid Hasan Khan,105,W23 Th12,,
,,,,3,Nithin Tom Mathew,165,T89 Th12,,
,,,,4,Vincent S Kumar,184,W34 Th12,,
,,,,5,Sonu Thomas,186,M34 W34,,
,,,,6,Harpreet Singh Bedi,189,T34 W78,,
,,,,7,Snehaunshu Choudhury,190,T34 Th12,,
2730,BITS F115,INTRO TO BASIC SCIENCES,3 0 3,1,KRISHNAKANTA BHATTACHARYA,183,T23 W1 Th4,27.10.2025 FN,22.12.2025 FN
1892,BITS F214,"SCIENCE, TECHNOLOGY AND MODERNITY",3 0 3,1,EIRINI ANASTASIADOU,245,M89 Th5,31.10.2025 FN,05.01.2026 FN
1632,BITS F225,ENVIRONMENTAL STUDIES,3 0 3,,HIRANMAY MAITY,,,30.10.2025 FN,31.12.2025 AN
,,,,1,Syed Maqbool Ahmed,245,W1 Th34,,
,,,,2,Subrata Chakraborthy,262,W1 Th34,,
,,,,3,Sabyasachi Roy,228,W1 Th34,,
,,,,4,Hiranmay Maity,276,W1 Th34,,
2303,BITS F226,SOFT SKILLS FOR PROFESSIONALS,3 0 3,1,JISS MATHEW VARGHESE,262,M89 Th5,31.10.2025 FN,05.01.2026 FN
2685,BITS F239,EVOLUTION OF ARCHITECTURE,2 0 2,1,TBA,228,M89 Th5,31.10.2025 FN,05.01.2026 FN
