COM COD,COURSE NO.,COURSE TITLE,"CREDIT
L P U",SEC,INSTRUCTOR-IN-CHARGE/ Instructor,ROOM,DAYS/ HOURS,MIDSEM TEST,COMRE DATE & SESSION
1654,CHEM F266,STUDY PROJECT,3,1,R ROOPKUMAR,,,,
1669,CHEM F366,LABORATORY PROJECT,3,1,R ROOPKUMAR,,,,
1739,CHEM F367,LABORATORY PROJECT,3,1,R ROOPKUMAR,,,,
1688,CHEM F376,DESIGN PROJECT,3,1,R ROOPKUMAR,,,,
1755,CHEM F377,DESIGN PROJECT,3,1,R ROOPKUMAR,,,,
1713,CHEM F491,SPECIAL PROJECT,3,1,R ROOPKUMAR,,,,
1008,CS F111,COMPUTER PROGRAMMING,3 1 4,1,SAPNA SADHWANI,101,T6 W2 Th1 F2,03.04.2024 FN,03.06.2024 FN
,,,,2,Ashish Gupta,105,M2 T6 W2 Th1,,
,,,,3,New Faculty,123,M2 T6 Th1 F2,,
,,Practical,,1,Sapna Sadhwani,336,M34,,
,,,,2,New Faculty,336,T34,,
,,,,3,Ashish Gupta,336,W89,,
1094,CS F211,DATA STRUCTURES & ALGO,3 1 4,1,ASHISH GUPTA,210,T2 W5 Th3 F5,03.04.2024 AN,03.06.2024 AN
,,,,2,New Faculty,257,T8 W3 Th2 F5,,
,,,,3,Sujala D Shetty,229,T7 W3 Th1 F5,,
,,,,4,New Faculty,205,M5 W2 Th5 F5,,
,,Practical,,1,New Faculty,333,M89,,
,,,,2,New Faculty,333,T34,,
,,,,3,Ashish Gupta,333,T89,,
,,,,4,Sujala D Shetty,333,Th34,,
1095,CS F212,DATABASE SYSTEMS,3 1 4,1,B VIJAYAKUMAR,210,M2 T5 Th4 F3,01.04.2024 AN,31.05.2024 FN
,,,,2,New Faculty,257,M2 T6 Th4 F3,,
,,,,3,Sapna Sadhwani,229,M6 T2 W9 Th8,,
,,,,4,New Faculty,205,M6 T5 W9 Th8,,
,,Practical,,1,Tamilarasan Periasamy,335,M89,,
,,,,2,New Faculty,335,T89,,
,,,,3,Sujala D Shetty,335,W89,,
,,,,4,Sapna Sadhwani,335,Th34,,
1313,CS F241,MICROPROC & INTERFACING,3 1 4,1,SHAZIA HASAN,210,M5 T9 W6 F4,29.03.2024 FN,29.05.2024 FN
,,,,2,Nilesh Goel,257,M5 W6 Th1 F4,,
,,,,3,Jagadish Nayak,229,M5 W6 Th2 F4,,
,,,,4,Jagadish Nayak,205,M3 W3 Th6 F1,,
,,Practical,,1,Jagadish Nayak,332,M89,,
,,,,2,Jagadish Nayak,332,T34,,
,,,,3,Nilesh Goel,332,W89,,
,,,,4,Shazia Hasan,332,Th89,,
,,,,5,Vilas H Gaidhane,332,F34,,
1655,CS F266,STUDY PROJECT,3,1,B VIJAYAKUMAR,,,,
1320,CS F303,COMPUTER NETWORKS,3 1 4,1,PRANAV MOTABHAU PAWAR,269,M4 T3 W6 Th1,01.04.2024 AN,31.05.2024 FN
,,,,2,Tamilarasan Periasamy,268,M4 W6 Th1 F2,,
,,,,3,Raja M,267,M4 T9 W6 Th1,,
,,Practical,,1,Tamilarasan Periasamy,335,W34,,
,,,,2,Pranav Motabhau Pawar,335,Th89,,
,,,,3,Raja M,335,F34,,
2266,CS F320,FOUNDATION OF DATA SCIENCE,3 0 3,1,SIDDHALING UROLAGIN,269,T2 W5 F1,03.04.2024 FN,04.06.2024 AN
1318,CS F363,COMPILER CONSTRUCTION,2 1 3,1,ELAKKIYA RAJASEKAR,269,M9 T5 Th2,29.03.2024 FN,29.05.2024 AN
,,,,2,Angel Arul Jothi,268,M3 T5 W9,,
,,,,3,Elakkiya Rajasekar,267,T3 Th4 F2,,
,,Practical,,1,Elakkiya Rajasekar,333,W34,,
,,,,2,Elakkiya Rajasekar,333,Th89,,
,,,,3,Angel Arul Jothi,333,F34,,
1319,CS F364,DESIGN & ANAL OF ALGO,3 0 3,1,SIDDHALING UROLAGIN,269,M1 T6 W2 Th5,03.04.2024 AN,05.06.2024 AN
,,,,2,New Faculty,268,M1 T3 W2 Th5,,
,,,,3,Siddhaling Urolagin,267,M3 T8 W9 Th3,,
1670,CS F366,LABORATORY PROJECT,3,1,B VIJAYAKUMAR,,,,
1740,CS F367,LABORATORY PROJECT,3,1,B VIJAYAKUMAR,,,,
1689,CS F376,DESIGN PROJECT,3,1,B VIJAYAKUMAR,,,,
1756,CS F377,DESIGN PROJECT,3,1,B VIJAYAKUMAR,,,,
1333,CS F407,ARTIFICIAL INTELLIGENCE,3 0 3,1,SUJALA D SHETTY,268,T2 W5 F1,03.04.2024 FN,04.06.2024 AN
1322,CS F415,DATA MINING,3 0 3,1,ANGEL ARUL JOTHI,267,T2 W5 F1,03.04.2024 FN,04.06.2024 AN
2440,CS F425,DEEP LEARNING,3 0 3,1,TAMILARASAN PERIASAMY,269,M2 T7 W1,01.04.2024 FN,30.05.2024 FN
2444,CS F429,NATURAL LANGUAGE PROCESSING,3 0 3,1,ELAKKIYA RAJASEKAR,268,M2 T7 W1,01.04.2024 FN,30.05.2024 FN
1714,CS F491,SPECIAL PROJECT,3,1,B VIJAYAKUMAR,,,,
1384,ECE F241,MICROPROC & INTERFACING,3 1 4,1,SHAZIA HASAN,210,M5 T9 W6 F4,29.03.2024 FN,29.05.2024 FN
,,,,2,Nilesh Goel,257,M5 W6 Th1 F4,,
,,,,3,Jagadish Nayak,229,M5 W6 Th2 F4,,
,,,,4,Jagadish Nayak,205,M3 W3 Th6 F1,,
,,Practical,,1,Jagadish Nayak,332,M89,,
,,,,2,Jagadish Nayak,332,T34,,
,,,,3,Nilesh Goel,332,W89,,
,,,,4,Shazia Hasan,332,Th89,,
,,,,5,Vilas H Gaidhane,332,F34,,
1385,ECE F242,CONTROL SYSTEMS,3 0 3,1,R SWARNALATHA,228,M2 T8 W5 Th8,01.04.2024 AN,31.05.2024 FN
1386,ECE F243,SIGNALS & SYSTEMS,3 0 3,1,SHAZIA HASAN,228,M8 T5 W4 Th1,03.04.2024 AN,03.06.2024 AN
1387,ECE F244,MICROELECTRONIC CIRCUITS,3 0 3,1,VILAS H GAIDHANE,228,M1 T6 W8 Th4,04.04.2024 AN,05.06.2024 AN
1701,ECE F266,STUDY PROJECT,3,1,KALAICHELVI,,,,
1391,ECE F341,ANALOG ELECTRONICS,3 1 4,1,KALAICHELVI,189,M2 T8 W2 F2,29.03.2024 FN,29.05.2024 AN
,,Practical,,1,Kalaichelvi,304,Th345,,
1595,ECE F343,COMMUNICATION NETWORKS,3 0 3,1,ABDUL RAZAK,223,M5 T2 W7 Th1,01.04.2024 AN,31.05.2024 FN
1390,ECE F344,INFO THEORY & CODING,3 0 3,1,T G THOMAS,223,M9 W3 Th8 F4,03.04.2024 AN,05.06.2024 AN
1702,ECE F366,LABORATORY PROJECT,3,1,KALAICHELVI,,,,
1705,ECE F367,LABORATORY PROJECT,3,1,KALAICHELVI,,,,
1703,ECE F376,DESIGN PROJECT,3,1,KALAICHELVI,,,,
1706,ECE F377,DESIGN PROJECT,3,1,KALAICHELVI,,,,
1247,ECE F432,MEDICAL INSTRUMENTATION,3 0 3,1,R SWARNALATHA,223,M7 T6 F3,03.04.2024 FN,04.06.2024 AN
1393,ECE F472,SATELLITE COMMUNICATION,3 0 3,1,ABDUL RAZAK,189,M1 T5 Th9,01.04.2024 FN,30.05.2024 FN
1704,ECE F491,SPECIAL PROJECT,3,1,KALAICHELVI,,,,
1023,ECON F211,PRINCIPLES OF ECONOMICS,3 0 3,1,SARTAJ RASOOL,228,M5 T1 Th5,02.04.2024 FN,30.05.2024 AN
1447,ECON F312,MONEY BANK & FIN MARKETS,3 0 3,1,ASGAR ALI,267,M8 T4 W8,02.04.2024 AN,06.06.2024 FN
1566,ECON F412,SECURITY ANALYSIS AND PORTFOLIO MGMT,3 0 3,1,ASGAR ALI,256,T1 Th7 F5,04.04.2024 FN,07.06.2024 FN
1009,EEE F111,ELECTRICAL SCIENCES,3 0 3,1,T G THOMAS,165,M5 T4 W1 Th5,03.04.2024 FN,03.06.2024 FN
,,,,2,Gomathi Bhavani,183,M5 T4 W1 Th5,,
,,,,3,T G Thomas,190,M2 T6 W5 F1,,
1238,EEE F241,MICROPROC & INTERFACING,3 1 4,1,SHAZIA HASAN,210,M5 T9 W6 F4,29.03.2024 FN,29.05.2024 FN
,,,,2,Nilesh Goel,257,M5 W6 Th1 F4,,
,,,,3,Jagadish Nayak,229,M5 W6 Th2 F4,,
,,,,4,Jagadish Nayak,205,M3 W3 Th6 F1,,
,,Practical,,1,Jagadish Nayak,332,M89,,
,,,,2,Jagadish Nayak,332,T34,,
,,,,3,Nilesh Goel,332,W89,,
,,,,4,Shazia Hasan,332,Th89,,
,,,,5,Vilas H Gaidhane,332,F34,,
1239,EEE F242,CONTROL SYSTEMS,3 0 3,1,R SWARNALATHA,228,M2 T8 W5 Th8,01.04.2024 AN,31.05.2024 FN
1240,EEE F243,SIGNALS & SYSTEMS,3 0 3,1,SHAZIA HASAN,228,M8 T5 W4 Th1,03.04.2024 AN,03.06.2024 AN
1241,EEE F244,MICROELECTRONIC CIRCUITS,3 0 3,1,VILAS H GAIDHANE,228,M1 T6 W8 Th4,04.04.2024 AN,05.06.2024 AN
1657,EEE F266,STUDY PROJECT,3,1,KALAICHELVI,,,,
1245,EEE F341,ANALOG ELECTRONICS,3 1 4,1,KALAICHELVI,189,M2 T8 W2 F2,29.03.2024 FN,29.05.2024 AN
,,Practical,,1,Kalaichelvi,304,Th345,,
1246,EEE F342,POWER ELECTRONICS,3 1 4,1,SUNIL THOMAS,189,M5 T3 W9 F1,01.04.2024 AN,31.05.2024 FN
,,Practical,,1,Sunil Thomas,302,W345,,
1731,EEE F366,LABORATORY PROJECT,3,1,KALAICHELVI,,,,
1742,EEE F367,LABORATORY PROJECT,3,1,KALAICHELVI,,,,
1691,EEE F376,DESIGN PROJECT,3,1,KALAICHELVI,,,,
1758,EEE F377,DESIGN PROJECT,3,1,KALAICHELVI,,,,
1886,EEE F417,COMPUTER BASED CONTROL SYSTEM,3 0 3,1,GOMATHI BHAVANI,189,M7 T6 F3,01.04.2024 FN,30.05.2024 FN
1247,EEE F432,MEDICAL INSTRUMENTATION,3 0 3,1,R SWARNALATHA,223,M7 T6 F3,03.04.2024 FN,04.06.2024 AN
1249,EEE F472,SATELLITE COMMUNICATION,3 0 3,1,ABDUL RAZAK,189,M1 T5 Th9,01.04.2024 FN,30.05.2024 FN
1716,EEE F491,SPECIAL PROJECT,3,1,KALAICHELVI,,,,
1143,FIN F212,FUNDA OF FIN AND ACCOUNT,3 0 3,1,ASGAR ALI,220,M4 W1 F2,05.04.2024 FN,06.06.2024 AN
1542,FIN F315,FINANCIAL MANAGEMENT,3 0 3,1,FAISAL N ZARGAR,268,M8 T4 W8,02.04.2024 AN,06.06.2024 FN
1130,GS F211,MODERN POLITICAL CONCEPTS,3 0 3,1,SHAMSHAD KHAN,269,T1 Th7 F5,04.04.2024 FN,07.06.2024 FN
1659,GS F266,STUDY PROJECT,3,1,R ROOPKUMAR,,,,
1176,GS F332,CONTEMPORARY INDIA,3 0 3,1,MRUTUYANJAYA SAHU,269,M8 T4 W8,02.04.2024 AN,06.06.2024 FN
1693,GS F376,DESIGN PROJECT,3,1,SARTAJ RASOOL,,,,
1760,GS F377,DESIGN PROJECT,3,1,SARTAJ RASOOL,,,,
2537,HSS F211,INTRODUCTION TO ARABIC,3 0 3,1,SHAMSHAD KHAN,257,M4 W1 F2,05.04.2024 FN,06.06.2024 AN
1603,HSS F222,LINGUISTICS,3 0 3,1,SAYANTAN CHAKRABORTY,229,M4 W1 F2,05.04.2024 FN,06.06.2024 AN
1775,HSS F232,INTRO TO DEV STUDIES,3 0 3,1,MRUTUYANJAYA SAHU,205,M4 W1 F2,05.04.2024 FN,06.06.2024 AN
2524,HSS F252,INTERNATIONAL LAW,3 0 3,1,SHAMSHAD KHAN,223,M8 T4 W8,02.04.2024 AN,06.06.2024 FN
1776,HSS F266,STUDY PROJECT,3,1,SARTAJ RASOOL,,,,
1828,HSS F349,ECOCRITICISM,3 0 3,1,SAYANTAN CHAKRABORTY,256,M8 T4 W8,02.04.2024 AN,06.06.2024 FN
1835,HSS F350,HUM RIGHTS HIST THEO PRA,3 0 3,1,MRUTUYANJAYA SAHU,268,T1 Th7 F5,04.04.2024 FN,07.06.2024 FN
1916,HSS F354,INTRO TO ISLAMIC ECONOMY,3 0 3,1,AQILA BEGUM,226,M8 T4 W8,02.04.2024 AN,06.06.2024 FN
2272,HSS F365,SCIENCE OF SUSTAINABLE HAPPINESS,3 0 3,1,SHAZI S J,210,M4 W1 F2,05.04.2024 FN,06.06.2024 AN
1529,IS F341,SOFTWARE ENGINEERING,3 1 4,1,B VIJAYAKUMAR,271,T2 W5 F1,03.04.2024 FN,04.06.2024 AN
,,Practical,,1,B Vijayakumar,335,M56,,
1011,MATH F112,MATHEMATICS II,3 0 3,1,SUHEL AHMED KHAN,165,T2 W6 Th1 F5,29.03.2024 FN,29.05.2024 FN
,,,,2,K Kumar,183,T2 W6 Th1 F5,,
,,,,3,Shanookha Ali,190,T2 W6 Th1 F5,,
,,,,4,A Somasundaram,101,M5 T5 W7 Th7,,
,,,,5,Shanookha Ali,105,M5 T5 Th7 F3,,
,,,,6,S Baskaran,123,M5 T5 Th7 F3,,
,,,,7,New Faculty,220,M7 T2 Th3 F5,,
1012,MATH F113,PROBABILITY & STATISTICS,3 0 3,1,MANEESHA,165,M2 T7 W5 F1,05.04.2024 FN,07.06.2024 FN
,,,,2,Shanookha Ali,183,M2 T7 W8 F1,,
,,,,3,Shanookha Ali,190,M8 T9 W4 Th5,,
1022,MATH F211,MATHEMATICS III,3 0 3,1,S BASKARAN,210,M3 W4 Th5 F1,02.04.2024 AN,07.06.2024 FN
,,,,2,A Somasundaram,257,M3 W4 Th5 F1,,
,,,,3,Suhel Ahmed Khan,229,M3 W4 Th5 F1,,
,,,,4,S Baskaran,205,M8 T1 W6 Th9,,
1122,MATH F212,OPTIMIZATION,3 0 3,1,MANEESHA,267,T1 Th7 F5,04.04.2024 FN,07.06.2024 FN
1471,MATH F313,NUMERICAL ANALYSIS,3 0 3,1,K KUMAR,276,M8 T4 W8,02.04.2024 AN,06.06.2024 FN
1662,MATH F266,STUDY PROJECT,3,1,R ROOPKUMAR,,,,
1679,MATH F366,LABORATORY PROJECT,3,1,R ROOPKUMAR,,,,
1747,MATH F367,LABORATORY PROJECT,3,1,R ROOPKUMAR,,,,
1696,MATH F376,DESIGN PROJECT,3,1,R ROOPKUMAR,,,,
1763,MATH F377,DESIGN PROJECT,3,1,R ROOPKUMAR,,,,
2273,MATH F432,APPLIED STATISTICAL METHODS,3 0 3,1,MANEESHA,271,M8 T4 W8,02.04.2024 AN,06.06.2024 FN
1721,MATH F491,SPECIAL PROJECT,3,1,R ROOPKUMAR,,,,
2379,ME F112,WORKSHOP PRACTICE,1 1 2,1,VINCENT KUMAR,165,T3,04.04.2024 FN,06.06.2024 FN
,,,,2,Vincent Kumar,183,M4,,
,,,,3,Vincent Kumar,190,Th6,,
,,Practical,,1,Harpreet Singh,MG1,M34,,
,,,,2,Ravindra G Bhardwaj,MG1,M89,,
,,,,3,Majid H Khan,MG1,T89,,
,,,,4,Ravindra G Bhardwaj,MG1,W34,,
,,,,5,Vincent Kumar,MG1,Th34,,
,,,,6,Harpreet Singh,MG1,Th89,,
,,,,7,Majid H Khan,MG1,F34,,
2397,ME F218,ADVANCED MECHANICS OF SOLIDS,2 0 2,1,PRIYANK UPADHYAYA,219,M7 W3 Th1,29.03.2024 FN,29.05.2024 FN
2398,ME F219,MANUFACTURING PROCESSES,3 1 4,1,GULSHAN KUMAR,219,M9 T8 Th3 F4,01.04.2024 AN,31.05.2024 FN
,,Practical,,1,Gulshan Kumar,MG1,T34,,
2430,ME F220,HEAT TRANSFER,3 1 4,1,SNEHAUNSHU C,219,M3 W5 Th8 F3,03.04.2024 AN,03.06.2024 AN
,,Practical,,1,Snehaunshu C,MS4,W89,,
2399,ME F221,MECHANISMS AND MACHINES,3 0 3,1,RAM KARTHIKEYAN,219,M1 W6 Th4 F5,04.04.2024 AN,05.06.2024 AN
1663,ME F266,STUDY PROJECT,3,1,PRIYANK UPADHYAYA,,,,
2406,ME F318,COMPUTER AIDED DESIGN,1 2 3,1,RAVINDRA G BHARDWAJ,276,T7 Th9,29.03.2024 FN,29.05.2024 AN
,,Practical,,1,Priyank Upadhyaya,MS6,T56,,
,,,,2,Priyank Upadhyaya,MS6,Th56,,
